,name,set_name,sdr,sir,isr,sar,baseline_sdr,baseline_sir,baseline_isr,baseline_sar
0,4a,wsj0_train,6.010870760949995,11.208771531857549,13.190365096976297,6.744168774963332,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
1,4a,wsj0_evaluation,2.7402542941390937,7.4097692637521755,9.33710554482581,4.753271721274633,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
2,4a,timit_train,4.3121402793612935,8.5842006051983,10.734628750041761,6.376207492040555,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
3,4a,timit_evaluation,4.617291525019786,8.780775006903959,10.75791695294394,6.6786296749969685,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
4,4a,tedlium_train,1.4210930265048092,3.9071403335798522,8.283930377460665,3.4082822707624314,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
5,4a,tedlium_evaluation,1.5365712126047482,3.604451872440567,7.858961806318772,3.430192154959931,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
6,4b,wsj0_train,6.219717621768735,11.450569840750443,13.368128401314541,6.909269003026577,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
7,4b,wsj0_evaluation,2.7019455431588733,7.200835917598348,9.390030326208377,4.6425972935510424,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
8,4b,timit_train,4.247727561455977,8.408946139172054,10.576247523637976,6.284837772955938,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
9,4b,timit_evaluation,4.363785626185034,8.391083052818903,10.358007833279917,6.538955773481523,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
10,4b,tedlium_train,1.3872494348339504,3.567133404575428,8.293277687529823,3.6242777558723036,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
11,4b,tedlium_evaluation,1.4095606756309838,3.706386445634788,7.897576871183492,3.4464000296371147,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
12,4c,wsj0_train,5.9731742845757765,11.417002771743503,13.339325153020656,6.849207740809565,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
13,4c,wsj0_evaluation,2.7469119309689223,7.225771615085336,9.2932527494423,4.897907004926307,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
14,4c,timit_train,4.633363364499147,9.019863734716923,10.897721411776686,6.809337359945141,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
15,4c,timit_evaluation,5.134244974095918,9.637817569716624,11.282640099004897,7.363764287944484,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
16,4c,tedlium_train,1.0627168428127292,3.642216193485233,7.797962301423845,3.6726368237091322,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
17,4c,tedlium_evaluation,1.261407763168622,3.396859628923469,7.385110964359388,3.617367414752044,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
